	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	int_term_x_neg_one	neg.log.p.adj	is.sig	int_term_abs	int.direction
530	zhp-4	45.4836002808575	1.48277179044634	0.531095059101103	11.0726662252289	0.003940951400498	0.007490185941876	-1.48277179044634	2.12550740092158	TRUE	1.48277179044634	negative
531	F53F8.4	209.847041329769	1.48222197644863	0.473126840111532	15.4387853074186	0.000444130262874	0.001090267504552	-1.48222197644863	2.96246693187828	TRUE	1.48222197644863	negative
533	cpna-3	493.595177847235	1.48080777554954	0.239667508166735	63.822249602333	1.3841226881173E-14	2.53787427129452E-13	-1.48080777554954	12.5955298970701	TRUE	1.48080777554954	negative
534	T05F1.2	1602.29075493105	1.48078338588376	0.669762547266224	20.6340747859521	3.30649287073602E-05	0.000107715015698	-1.48078338588376	3.96772375092462	TRUE	1.48078338588376	negative
535	toe-2	489.564723776488	1.4802006052035	0.423547727040456	23.4351646946602	8.14926884235735E-06	3.04262101687457E-05	-1.4802006052035	4.51675213917329	TRUE	1.4802006052035	negative
536	num-1	756.623226842313	1.47993408546633	0.253119084802918	38.5701129744297	4.21314478954113E-09	3.13294127822267E-08	-1.47993408546633	7.50404774517028	TRUE	1.47993408546633	negative
537	Y50D4C.6	97.8814670020466	1.4792666260033	0.328517022420756	21.8300790171456	1.81827083061846E-05	6.29080583336428E-05	-1.4792666260033	4.20129371917039	TRUE	1.4792666260033	negative
538	W06B4.1	865.957556347166	1.47813392028309	0.649581120690756	47.9327149679324	3.90430011364456E-11	4.17654801367692E-10	-1.47813392028309	9.37918252157164	TRUE	1.47813392028309	negative
539	cnp-2	311.150697142806	1.47720621658491	0.59776024638662	21.2799256788318	2.39399286210461E-05	8.05621482319803E-05	-1.47720621658491	4.09386896160965	TRUE	1.47720621658491	negative
540	mig-32	582.713242440699	1.4771905068431	0.313936308952741	23.5611229650391	7.65186244786428E-06	2.87293993465823E-05	-1.4771905068431	4.54167345382677	TRUE	1.4771905068431	negative
541	ced-3	1014.19094092792	1.47531454708161	0.559347213170207	25.2999367951017	3.20766147893488E-06	1.31903376023175E-05	-1.47531454708161	4.87974408868811	TRUE	1.47531454708161	negative
542	ztf-16	182.041079962711	1.47493450232261	0.345164427069215	26.7198036265759	1.57713316229048E-06	6.99013505025299E-06	-1.47493450232261	5.15551443355145	TRUE	1.47493450232261	negative
543	dnsn-1	319.355656015833	1.47466569319193	0.459706443121172	10.872460308394	0.004355873328118	0.008203076257032	-1.47466569319193	2.08602325116337	TRUE	1.47466569319193	negative
544	rmd-1	899.322080934707	1.47358110979356	0.601972873604144	31.7920886370221	1.24863547173376E-07	6.94565643185718E-07	-1.47358110979356	6.1582867029485	TRUE	1.47358110979356	negative
547	C49H3.6	350.899198016742	1.46694324907153	0.382555219996391	14.793377353129	0.000613280171576	0.001454808169525	-1.46694324907153	2.83719426881497	TRUE	1.46694324907153	negative
548	F28B12.6	2.53121605334777	1.46635470032095	1.43536130653608	11.8727766681045	0.002641552849832	0.005256504459604	-1.46635470032095	2.2793029627958	TRUE	1.46635470032095	negative
549	zyg-1	362.928923784221	1.46526178292489	0.316234423084923	24.5211225598398	4.73484635840173E-06	1.87470009887651E-05	-1.46526178292489	4.72706819770712	TRUE	1.46526178292489	negative
